using cuda
{'loss': 0.1745, 'grad_norm': 1.8856546878814697, 'learning_rate': 9.59087332808812e-06, 'epoch': 0.83}
{'loss': 0.1512, 'grad_norm': 0.800083577632904, 'learning_rate': 9.58300550747443e-06, 'epoch': 0.85}
{'loss': 0.1486, 'grad_norm': 0.8878587484359741, 'learning_rate': 9.57513768686074e-06, 'epoch': 0.86}
{'loss': 0.1611, 'grad_norm': 1.9365874528884888, 'learning_rate': 9.56726986624705e-06, 'epoch': 0.88}
{'loss': 0.1607, 'grad_norm': 0.9253154397010803, 'learning_rate': 9.55940204563336e-06, 'epoch': 0.9}
{'loss': 0.172, 'grad_norm': 1.036912202835083, 'learning_rate': 9.55153422501967e-06, 'epoch': 0.91}
{'loss': 0.1665, 'grad_norm': 0.7003103494644165, 'learning_rate': 9.54366640440598e-06, 'epoch': 0.93}
{'loss': 0.1621, 'grad_norm': 1.8647516965866089, 'learning_rate': 9.53579858379229e-06, 'epoch': 0.94}
{'loss': 0.1628, 'grad_norm': 0.7848368287086487, 'learning_rate': 9.5279307631786e-06, 'epoch': 0.96}
{'loss': 0.1574, 'grad_norm': 1.6194818019866943, 'learning_rate': 9.520062942564911e-06, 'epoch': 0.97}
{'loss': 0.1552, 'grad_norm': 0.5332584977149963, 'learning_rate': 9.51219512195122e-06, 'epoch': 0.99}
{'loss': 0.1595, 'grad_norm': 2.402869462966919, 'learning_rate': 9.50432730133753e-06, 'epoch': 1.01}
{'loss': 0.1729, 'grad_norm': 0.600850522518158, 'learning_rate': 9.49645948072384e-06, 'epoch': 1.02}
{'loss': 0.1623, 'grad_norm': 1.5176390409469604, 'learning_rate': 9.48859166011015e-06, 'epoch': 1.04}
{'loss': 0.1683, 'grad_norm': 0.9954683184623718, 'learning_rate': 9.48072383949646e-06, 'epoch': 1.05}
{'loss': 0.1554, 'grad_norm': 2.3762900829315186, 'learning_rate': 9.47285601888277e-06, 'epoch': 1.07}
{'loss': 0.161, 'grad_norm': 1.2794928550720215, 'learning_rate': 9.46498819826908e-06, 'epoch': 1.08}
{'loss': 0.1607, 'grad_norm': 0.7197752594947815, 'learning_rate': 9.45712037765539e-06, 'epoch': 1.1}
{'loss': 0.1596, 'grad_norm': 0.8398689031600952, 'learning_rate': 9.4492525570417e-06, 'epoch': 1.12}
{'loss': 0.1467, 'grad_norm': 2.821263551712036, 'learning_rate': 9.44138473642801e-06, 'epoch': 1.13}
{'loss': 0.1501, 'grad_norm': 1.9122368097305298, 'learning_rate': 9.43351691581432e-06, 'epoch': 1.15}
{'loss': 0.1584, 'grad_norm': 4.746683120727539, 'learning_rate': 9.425649095200629e-06, 'epoch': 1.16}
{'loss': 0.167, 'grad_norm': 2.600142240524292, 'learning_rate': 9.41778127458694e-06, 'epoch': 1.18}
{'loss': 0.1556, 'grad_norm': 7.370086669921875, 'learning_rate': 9.409913453973251e-06, 'epoch': 1.19}
{'loss': 0.1661, 'grad_norm': 1.9311187267303467, 'learning_rate': 9.40204563335956e-06, 'epoch': 1.21}
{'loss': 0.1702, 'grad_norm': 1.650127649307251, 'learning_rate': 9.394177812745871e-06, 'epoch': 1.23}
{'loss': 0.145, 'grad_norm': 0.7224463820457458, 'learning_rate': 9.38630999213218e-06, 'epoch': 1.24}
